id,course_id,tee_box_name,hole_number,par,yardage,meters,handicap
08c3dbc9-753d-4976-8960-bc0f4b4b54bd,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow,3,3,205,,
08ccbdb7-7696-4597-bcd9-c84f1ce9444f,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow Re-Rate 1,3,3,203,,
09040bce-fc46-43c1-927b-7f75f1c746c6,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow Re-Rate 1,17,3,218,,
095a2c4a-6f65-4172-ba8f-d2fb10e3a5e3,519f37fb-65ec-412a-a241-838c7a30a05d,Red - New,10,4,368,,
09875e78-53f0-46d5-b400-ed119fa25398,519f37fb-65ec-412a-a241-838c7a30a05d,White - New (w),1,4,369,,
0b0a0fe4-8231-4079-90f4-81ed802088d9,519f37fb-65ec-412a-a241-838c7a30a05d,Blue Re-Rate 1,4,5,469,,
0b3b1545-1077-464e-b96d-4375607e8344,519f37fb-65ec-412a-a241-838c7a30a05d,White - New,8,4,438,,
0b6f5728-3b89-4110-a2ba-45e968279347,519f37fb-65ec-412a-a241-838c7a30a05d,Blue - New,18,5,454,,
0b8329d5-82ba-42a4-bee3-307aaac24a7e,519f37fb-65ec-412a-a241-838c7a30a05d,White Re-Rate 1,4,5,482,,
0cd41732-b947-4121-94ca-995eb7dff5a6,519f37fb-65ec-412a-a241-838c7a30a05d,Blue Re-Rate 1,7,4,363,,
0d009c06-b28f-45cf-bee1-6b7a1fe8aae1,519f37fb-65ec-412a-a241-838c7a30a05d,White,4,5,,,9
0d4b6cfa-121a-4a9e-8a7d-56cb89a5e0ce,519f37fb-65ec-412a-a241-838c7a30a05d,Red,6,3,155,,
0d878525-3623-424f-8475-67aec1076584,519f37fb-65ec-412a-a241-838c7a30a05d,Red,4,5,445,,
0dd3de0c-b4fb-48ce-8035-e2a3262fc8da,519f37fb-65ec-412a-a241-838c7a30a05d,Red(w),1,4,355,,
0e762a94-97b7-4423-86df-809c1d4226af,519f37fb-65ec-412a-a241-838c7a30a05d,Blue Re-Rate 1,15,4,358,,
0eedfc1a-f5af-49b0-b3d9-85b1b8fb1af8,519f37fb-65ec-412a-a241-838c7a30a05d,Blue - New,17,3,169,,
0f89907a-8e06-4253-8abb-7c4b931a82c2,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow - New,17,3,218,,
0fcd892f-e8bc-4e84-830a-80868324a31d,519f37fb-65ec-412a-a241-838c7a30a05d,Red (w) Re-Rate 1,14,3,144,,
124a8ead-5515-4e42-a0f3-5b9e60e8d38e,519f37fb-65ec-412a-a241-838c7a30a05d,Blue,12,4,345,,
135fa180-2047-4a93-9085-8cdcb85f208d,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow Re-Rate 1,6,3,196,,
13a1bf5d-0665-413d-b170-c5599f198c73,519f37fb-65ec-412a-a241-838c7a30a05d,Blue(w),5,4,365,,
14113781-660c-49cb-8c71-7be8dfb6e437,519f37fb-65ec-412a-a241-838c7a30a05d,Blue (w) Re-Rate 1,17,3,169,,
15971448-e217-49ae-b43a-6713e05f1e61,519f37fb-65ec-412a-a241-838c7a30a05d,White - New (w),9,5,586,,
16c744cb-411f-457e-8bd3-dcf7049b59fa,519f37fb-65ec-412a-a241-838c7a30a05d,Red(w),12,4,345,,
177c7b05-6871-4779-9239-0a2e47498134,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow (w) Re-Rate 1,1,4,375,,
1afff0ac-78aa-4eca-a7a7-503fbbcad5d8,519f37fb-65ec-412a-a241-838c7a30a05d,Red (w) Re-Rate 1,2,4,330,,
1b429315-f590-40a4-acae-5fe0baf1a553,519f37fb-65ec-412a-a241-838c7a30a05d,Blue,7,4,360,,
1b7c45b0-9c6b-468b-a33d-0929b1d7360f,0f43bfb1-c569-4504-a7b6-d51056c9522e,White,18,5,,,5
1bcc4b2d-9e7b-4737-aa3b-2cc9a3873133,519f37fb-65ec-412a-a241-838c7a30a05d,White,17,3,,,8
1d4c336a-17ff-4ddd-aa7b-b29a56463817,519f37fb-65ec-412a-a241-838c7a30a05d,White,6,3,,,17
1d70e9ff-ceac-41f8-bdc0-ebfcf28f045a,519f37fb-65ec-412a-a241-838c7a30a05d,White Re-Rate 1,6,3,182,,
1d97a402-ce7e-457c-b7ac-967ae0922a25,519f37fb-65ec-412a-a241-838c7a30a05d,Red - New (w),6,3,121,,
1da51077-364e-4676-8e71-fe31415c4632,519f37fb-65ec-412a-a241-838c7a30a05d,Red - New (w),4,5,416,,
1e5c6afb-15b9-4afb-91cd-e5070c8b6aa1,519f37fb-65ec-412a-a241-838c7a30a05d,White (w),8,4,439,,
1e627357-2a3f-4f7b-b162-29092868757b,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow - New,10,4,413,,
1e6f3f4a-a125-4767-ba7a-e5362ae13845,519f37fb-65ec-412a-a241-838c7a30a05d,Red - New (w),11,4,365,,
1e8ec1ac-1f95-4636-b6bd-a256608cfad8,519f37fb-65ec-412a-a241-838c7a30a05d,White Re-Rate 1,13,5,521,,
1eb6999f-aa3e-49ae-8d80-a57f5c25e0fb,519f37fb-65ec-412a-a241-838c7a30a05d,White - New (w),16,4,418,,
1ec73e60-5e76-4344-a039-7dd04c5bedd7,519f37fb-65ec-412a-a241-838c7a30a05d,White (w),12,4,362,,
1fbcda81-309a-4837-83d3-a9762727d6d7,519f37fb-65ec-412a-a241-838c7a30a05d,Red Re-Rate 1,2,4,330,,
20fd076a-a371-4855-883b-d23dcb14633f,519f37fb-65ec-412a-a241-838c7a30a05d,Red,5,4,320,,
21acbc45-8152-4a2d-a0cb-d19ce90b8795,519f37fb-65ec-412a-a241-838c7a30a05d,Blue (w) Re-Rate 1,11,4,405,,
21b7f94f-7c9d-4c47-9f45-853cd58583b7,519f37fb-65ec-412a-a241-838c7a30a05d,Blue - New (w),17,3,169,,
22cef474-8abb-47d1-85ce-ba12f6393381,519f37fb-65ec-412a-a241-838c7a30a05d,Blue(w),11,4,410,,
2569c785-b030-4363-a2ee-8634d8c7447a,519f37fb-65ec-412a-a241-838c7a30a05d,White,2,4,,,5
259e9c04-b9aa-4bef-9797-647f44058070,519f37fb-65ec-412a-a241-838c7a30a05d,Red - New,16,4,355,,
25d37162-42e5-4009-bc53-64ebad33ed95,519f37fb-65ec-412a-a241-838c7a30a05d,Red(w),14,3,155,,
260db9f7-9061-4385-bbec-844f4f340ee7,519f37fb-65ec-412a-a241-838c7a30a05d,Red - New (w),17,3,164,,
26be28fc-ae1c-4d90-94e7-17bf98e306a5,519f37fb-65ec-412a-a241-838c7a30a05d,White,3,3,,,7
27b4879a-f16c-4e1c-8104-3a2cee52ead2,519f37fb-65ec-412a-a241-838c7a30a05d,Red - New,11,4,365,,
280dcc5e-e8fc-4852-b837-9bc572b7cf2f,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow,16,4,450,,
28bdf175-25fe-41ce-8d9f-c9973867c421,519f37fb-65ec-412a-a241-838c7a30a05d,Yellow Re-Rate 1,14,3,168,,
29107b07-e02d-4fac-80f7-2cf0941bc6c1,519f37fb-65ec-412a-a241-838c7a30a05d,Red (w) Re-Rate 1,17,3,164,,
